component,variance_explained,cumulative_variance
PC1,0.033482030012789654,0.033482030012789654
PC2,0.03142852524351211,0.06491055525630177
PC3,0.025348028290947813,0.09025858354724958
PC4,0.020039956068135273,0.11029853961538486
PC5,0.01969177951432485,0.1299903191297097
PC6,0.017909477489419165,0.1478997966191289
PC7,0.015924318961342384,0.16382411558047127
PC8,0.01547038982797032,0.1792945054084416
PC9,0.014813210382679165,0.19410771579112077
PC10,0.013654638481940281,0.20776235427306106
PC11,0.013056269566996,0.22081862384005704
PC12,0.012748013908447674,0.23356663774850472
PC13,0.012074708393083972,0.2456413461415887
PC14,0.011526733015004753,0.25716807915659345
PC15,0.010453591488532948,0.26762167064512643
PC16,0.010291925653893422,0.27791359629901985
PC17,0.010070177362064983,0.28798377366108485
PC18,0.009591083777811206,0.29757485743889606
PC19,0.009416569570700398,0.3069914270095965
PC20,0.009101092766539661,0.3160925197761361
PC21,0.008920772395852818,0.32501329217198893
PC22,0.008263824637402783,0.3332771168093917
PC23,0.007828052532711122,0.34110516934210283
PC24,0.0076947184002384185,0.3487998877423413
PC25,0.007388209818754492,0.35618809756109576
PC26,0.007280316373734833,0.3634684139348306
PC27,0.007065334333625879,0.3705337482684565
PC28,0.0067184972321683,0.37725224550062475
PC29,0.006603614475601467,0.38385585997622623
PC30,0.006306570779787667,0.3901624307560139
PC31,0.006110706879413797,0.3962731376354277
PC32,0.005935204671679789,0.4022083423071075
PC33,0.005793451667503436,0.40800179397461095
PC34,0.005600349382082951,0.4136021433566939
PC35,0.005482413581524812,0.41908455693821867
PC36,0.005431314287616504,0.4245158712258352
PC37,0.005288417860598962,0.42980428908643414
PC38,0.005268331540137937,0.4350726206265721
PC39,0.005104686757484049,0.44017730738405614
PC40,0.005000915572722147,0.4451782229567783
PC41,0.0049046195018673045,0.4500828424586456
PC42,0.004806369917347348,0.45488921237599295
PC43,0.004668497557933053,0.459557709933926
PC44,0.004626779205402218,0.4641844891393282
PC45,0.004539037789383212,0.4687235269287114
PC46,0.004420085112809032,0.47314361204152044
PC47,0.0043408733020836535,0.4774844853436041
PC48,0.004164650007924436,0.48164913535152853
PC49,0.0041241668051268795,0.48577330215665543
PC50,0.004032671455366436,0.4898059736120219
