,AAM (Approach-Avoidance),BDI (Beck Depression),BT (Bartle Types),CEST (Cognitive-Experiential),CMOA (Circumplex of Affect),CS (Clifton Strengths),DISC,DT4 (Dark Tetrad),DTM (Dark Triad),EM (Enneagram),EPM (Eysenck PEN),FFNI (Five-Factor Narcissism),FFNI-SF (Short Form),FSLS (Felder-Silverman Learning),FTM (Four Temperaments),GAD-7 (Anxiety),HEXACO,HSNS (Hypersensitive Narcissism),IPN (Interpersonal),MBTI,MCMI (Millon Clinical),MCMI-N (Narcissism),MMPI,MST (Motivational Systems),NARQ (Narcissistic Admiration/Rivalry),NPI (Narcissistic Personality),OCEAN (Big Five),PAPC,PCT (Personal Construct),PNI (Pathological Narcissism),RFT (Regulatory Focus),RIASEC (Holland Vocational),RIT (Rorschach Inkblot),SCID (DSM Structured Interview),SCM (Social-Cognitive),SDT (Self-Determination),16PF (Cattell),STBV (Schwartz Values),TAT (Thematic Apperception),TCI (Temperament & Character),TEI (Emotional Intelligence),TKI (Thomas-Kilmann Conflict),TMP (Triarchic Psychopathy),WAIS (Intelligence)
AAM (Approach-Avoidance),1.0,0.6677228651469596,0.5778806962442105,0.4934780445176979,0.5091015171519304,0.6462566086338883,0.6687218234416401,0.5517402525513132,0.541481037321595,0.5377709211563522,0.619416516799943,0.6870639553596324,0.5208433308810678,0.5726635812393115,0.5649478207258789,0.5643653507676788,0.6375978913315812,0.5710890439052155,0.6321525868040099,0.6325430635708099,0.6060658907587279,0.5734603190728531,0.6354423010849926,0.6920387291229593,0.48245030516567566,0.6230765406377169,0.6711752871892146,0.4630613006023945,0.6870194721188698,0.6611241726735546,0.6655260999053078,0.6350303469603621,0.47549202684629477,0.5051423941897792,0.6867294193699154,0.6095488650755841,0.708458424917387,0.6450298935682584,0.5019241442739725,0.7567325405007584,0.5159392422891408,0.5097963907083082,0.6433623442316916,0.3680031756951273
BDI (Beck Depression),0.6677228651469596,1.0000000000000004,0.527511348030373,0.5746297197457884,0.6448546897661869,0.5897729651560071,0.5917073270063652,0.679337468736902,0.6466204622316888,0.5301286219301089,0.7508486949301307,0.8053725346429934,0.6155576900685193,0.6132088158554435,0.7236151128705974,0.7752604753209151,0.6804817567392681,0.7380296409453841,0.755368864441113,0.6718082480373637,0.7543372991393607,0.6455386251120451,0.8372958021502566,0.665011013000725,0.5482656193734063,0.6815316999348537,0.7134888144384302,0.5373603736677149,0.684047771543734,0.8022182075926523,0.5204824766321203,0.6402022914216601,0.5433977711545974,0.6879026818234383,0.7827758887866288,0.5869177912921634,0.7754019366660878,0.6406453690524989,0.5229450579287102,0.7472114033619165,0.5201991665720695,0.4794851401005564,0.7679256724435394,0.3979956512209847
BT (Bartle Types),0.5778806962442105,0.527511348030373,1.0000000000000002,0.5303635239279533,0.6279132684785529,0.6886883031643132,0.698727372023312,0.5615070975322863,0.5348772922123246,0.656026438040593,0.6296863515762248,0.6369498097932966,0.49250947550389285,0.6563989872451484,0.627982349903899,0.446900659479603,0.6990486055267624,0.4959408723248923,0.597435689972953,0.6948066640944148,0.5201731171648138,0.6284628915637933,0.5737195575494817,0.5120953820664822,0.5171496729588213,0.6173529160784165,0.7128375434505528,0.631412890262186,0.6876869215194008,0.6008999411572256,0.5817814715369363,0.7243993156762611,0.5103741024036954,0.3925110409776479,0.6865330875910245,0.6318255744257979,0.716275280278697,0.6347752567639168,0.5656345125306477,0.6977964512358393,0.5467668214453971,0.451459441898555,0.6583428366519531,0.38703064351896366
CEST (Cognitive-Experiential),0.4934780445176979,0.5746297197457884,0.5303635239279533,1.0000000000000004,0.5088778716877862,0.685237581156569,0.6228506139392144,0.5297160136638024,0.5280453670232238,0.4968420358280608,0.6692233471710506,0.6491704428185536,0.4820204613858521,0.7886921269687892,0.6021268161094121,0.5003028573127695,0.6438797831110724,0.5644848812292851,0.5891609818354209,0.7877924380404997,0.5676450059415894,0.6149392692372626,0.6190135914723913,0.7091443581948234,0.4195750100953051,0.5857559033977312,0.6945967519849763,0.5104467760495142,0.7113901622170443,0.6069446171854256,0.4858507257691437,0.7420754361844616,0.5317596745942548,0.5010875183930998,0.7243967199558581,0.6235914106235209,0.7360457927964672,0.6383490976784897,0.41662347939802324,0.6721821496899465,0.5895096043996052,0.3996992128676704,0.5590061709660405,0.5089348543574751
CMOA (Circumplex of Affect),0.5091015171519304,0.6448546897661869,0.6279132684785529,0.5088778716877862,1.0000000000000002,0.5208950777664345,0.5379516198214127,0.46539955566706664,0.41216306230862676,0.5668273048249342,0.6644103172371345,0.5839066736079812,0.4483280910308589,0.5569960767952989,0.6648719996766816,0.5887816057091677,0.6249047298596428,0.5283418838089378,0.5389175531202315,0.6006532730805163,0.5198298275771728,0.4836421331636653,0.6283561696952307,0.5641409736612538,0.4234494827486071,0.5029111594812263,0.6523147604706016,0.5929329883987968,0.5978576527140406,0.5530807844898574,0.5083474803749528,0.5607605726825128,0.4876744512701584,0.4721539653943332,0.6987388556097717,0.49866445469805276,0.6855185495893666,0.5455707600325438,0.4072726975776617,0.58767558395713,0.5265628324575748,0.39258142747602404,0.6213066694044477,0.3690390856151503
CS (Clifton Strengths),0.6462566086338883,0.5897729651560071,0.6886883031643132,0.685237581156569,0.5208950777664345,0.9999999999999999,0.831446233312236,0.5881121966069782,0.5965602772685539,0.5526492052053888,0.6895594412610816,0.7517469663659327,0.5526062419255523,0.8214796699074292,0.6606082291158901,0.502021956048106,0.7345571088941932,0.5722292802004364,0.6760574311712529,0.820069336001028,0.5950336048096192,0.7185545673730523,0.6242715224843656,0.6504320747791925,0.5584973763239781,0.7185619295486914,0.78694646235438,0.5691529771546631,0.8777326832780616,0.7106686237895811,0.6849620000981134,0.8350661298803441,0.6091360909919025,0.4811092284715365,0.8089007567839889,0.7912498354984525,0.8079104246132882,0.7921958662289748,0.6356251264417248,0.8024312529971105,0.6413500185999869,0.5925371985544564,0.6494654433799728,0.5064806014039201
DISC,0.6687218234416401,0.5917073270063652,0.698727372023312,0.6228506139392144,0.5379516198214127,0.831446233312236,1.0000000000000002,0.5786976157165953,0.5871809365897488,0.6441703134358844,0.7176593685930841,0.7259323264835679,0.5355577597864468,0.7310164514217914,0.6880207254186667,0.5042396524093978,0.7638245272319808,0.5807894238783399,0.6547428149951988,0.7809420233033745,0.6365311996608762,0.6856564703977153,0.6405854755000886,0.6368137938313334,0.5271736165738886,0.7158048309060878,0.7898491582523223,0.6524706861893655,0.8440036457780314,0.676100244877997,0.6659928250968985,0.8064354886369142,0.6063259824212777,0.52364730123859,0.791495280051589,0.7613394722728222,0.8021281243618832,0.760481222291296,0.60695494430756,0.8149431217913241,0.6129920258167763,0.5900566707065351,0.6623430251775495,0.48934333415226705
DT4 (Dark Tetrad),0.5517402525513132,0.679337468736902,0.5615070975322863,0.5297160136638024,0.46539955566706664,0.5881121966069782,0.5786976157165953,1.0000000000000009,0.955212847109344,0.5137767219399433,0.659694442066834,0.7835989332436066,0.8177280111118536,0.5550319778945696,0.667571145301465,0.4867182721667259,0.6311169029457158,0.677862840858909,0.8032162295467434,0.6128644659066553,0.7037152062507219,0.7645243002582345,0.7474444730410199,0.5729992961306126,0.7500513349216054,0.7863638174802733,0.6880420678299035,0.4262863527117668,0.5995422354774455,0.7929020386310235,0.445695313433338,0.6284154539406162,0.43430515693449223,0.5382082226669413,0.6719264923252486,0.56993312530354,0.7081425865236883,0.6313394300593881,0.5368681459219208,0.6929618067046734,0.48045198356083796,0.4575894314441989,0.7903750752544494,0.35161808672698014
DTM (Dark Triad),0.541481037321595,0.6466204622316888,0.5348772922123246,0.5280453670232238,0.41216306230862676,0.5965602772685539,0.5871809365897488,0.955212847109344,1.0000000000000004,0.4996207308524162,0.6564651258428953,0.7737210116016717,0.8275419736663453,0.5458762475302229,0.6537682366189226,0.4726462337980438,0.6261322158071817,0.6710449145249493,0.7862172545968268,0.6083275451925179,0.6849559562334737,0.7623523593627409,0.7284416069958976,0.5523042203159605,0.7439518766094342,0.7754127108907028,0.6870083026914444,0.422979190928915,0.5962538716347271,0.7682294817565191,0.4506416152272041,0.6140537110273738,0.4182237837172869,0.4990519701527212,0.6499188660293284,0.5733999089250306,0.6966114371971062,0.6157101980004532,0.5121746827849465,0.6803302189215374,0.4975803950884708,0.4553616773735834,0.7693765207615743,0.34418729236324813
EM (Enneagram),0.5377709211563522,0.5301286219301089,0.656026438040593,0.4968420358280608,0.5668273048249342,0.5526492052053888,0.6441703134358844,0.5137767219399433,0.4996207308524162,0.9999999999999996,0.6135886412927978,0.5999492450824581,0.4776154956395426,0.5639567911054038,0.6142530967436526,0.47680368906003473,0.6087402991889868,0.5470857116165738,0.5618140053924289,0.6195768533470062,0.581740977490023,0.5613197680037162,0.5814107116986104,0.5121210495875582,0.473238989645525,0.5669278969724018,0.6526363070121686,0.5870577596093103,0.5688283146964274,0.5632402287392373,0.4548485492972697,0.5944074517248424,0.5208116693010237,0.47112967256216065,0.6310450138594215,0.5435313990222055,0.6504319158899026,0.5628267463316543,0.48690752573951646,0.6326881282365062,0.5181117827763208,0.42251490329471697,0.5613913639926433,0.3893607637595834
EPM (Eysenck PEN),0.619416516799943,0.7508486949301307,0.6296863515762248,0.6692233471710506,0.6644103172371345,0.6895594412610816,0.7176593685930841,0.659694442066834,0.6564651258428953,0.6135886412927978,1.0000000000000007,0.7639023387154643,0.6209031917886082,0.6725964709178817,0.8185665236552967,0.7065105687094373,0.8493664093002041,0.7405828721019535,0.704364684638052,0.8320153325338431,0.7454881083384471,0.6817027163225492,0.8431662388958565,0.7040730791659684,0.5708886755630206,0.6802990246703613,0.8734858838297327,0.566938278171208,0.776703426914925,0.7319313602318804,0.5886167662527382,0.7431159956498622,0.533479372112068,0.6365638357735632,0.8449157854604809,0.6521154878668514,0.8519880832603675,0.7199105057028562,0.527498238887038,0.79723416877784,0.6018315721819351,0.5410322808150754,0.7493184929926663,0.41049373682204837
FFNI (Five-Factor Narcissism),0.6870639553596324,0.8053725346429934,0.6369498097932966,0.6491704428185536,0.5839066736079812,0.7517469663659327,0.7259323264835679,0.7835989332436066,0.7737210116016717,0.5999492450824581,0.7639023387154643,1.0000000000000004,0.7984008090190988,0.7376101607388725,0.7086731359299681,0.6396500968770493,0.756804154807792,0.799135222050691,0.9183132932717011,0.7559869096488441,0.7365744131495289,0.8928048553729796,0.8108440496759203,0.6819216291059722,0.7599614743185257,0.9398266092793999,0.8051649775000513,0.5517607008991902,0.7777533844371224,0.949927831854499,0.6080086012097634,0.7721326433439959,0.5844747234680114,0.6083049433742772,0.8204987308240251,0.7450319550993203,0.8745405342613236,0.8167581989479624,0.6115575573861899,0.8536842661066774,0.584236085513817,0.5543064251966568,0.814845854662145,0.4362191367861226
