component,variance_explained,cumulative_variance
PC1,0.045053060628493076,0.045053060628493076
PC2,0.03497144090436723,0.08002450153286031
PC3,0.025972861135347212,0.10599736266820753
PC4,0.02532234889574263,0.13131971156395017
PC5,0.023251286924658783,0.15457099848860895
PC6,0.022411066437503353,0.1769820649261123
PC7,0.021403850562591583,0.19838591548870388
PC8,0.020609233328496346,0.21899514881720022
PC9,0.01690347425168059,0.23589862306888082
PC10,0.016183690524938805,0.2520823135938196
PC11,0.014090519766348921,0.2661728333601685
PC12,0.013744375288449674,0.2799172086486182
PC13,0.012788615782839238,0.29270582443145743
PC14,0.012731913071323691,0.30543773750278114
PC15,0.012392805666362035,0.31783054316914316
PC16,0.011473369442432485,0.32930391261157566
PC17,0.011021226988135175,0.34032513959971084
PC18,0.010603025408409706,0.3509281650081205
PC19,0.01038437676770477,0.3613125417758253
PC20,0.010063169672331517,0.3713757114481568
PC21,0.009573198910050165,0.38094891035820694
PC22,0.009248213514775365,0.3901971238729823
PC23,0.009159617804069141,0.39935674167705143
PC24,0.00862204368137605,0.40797878535842746
PC25,0.008478508357843315,0.41645729371627077
PC26,0.008129911758393274,0.42458720547466405
PC27,0.007932322547502507,0.43251952802216653
PC28,0.007791072749018469,0.440310600771185
PC29,0.007537935541551337,0.44784853631273636
PC30,0.007393126956232276,0.45524166326896864
PC31,0.007196244472437197,0.46243790774140586
PC32,0.006900168969574211,0.46933807671098005
PC33,0.006856767092721374,0.4761948438037014
PC34,0.006693556374711091,0.4828884001784125
PC35,0.006482653203920854,0.48937105338233333
PC36,0.006114796255051818,0.4954858496373851
PC37,0.006024294558699119,0.5015101441960842
PC38,0.005825983741069827,0.507336127937154
PC39,0.005730480145704865,0.5130666080828589
PC40,0.005590442680541822,0.5186570507634007
PC41,0.005511834851807816,0.5241688856152086
PC42,0.005371501909491503,0.5295403875247001
PC43,0.0053191943562499,0.5348595818809501
PC44,0.005185649283432743,0.5400452311643829
PC45,0.005050806170306199,0.545096037334689
PC46,0.0048903399396705675,0.5499863772743596
PC47,0.004802551367699479,0.5547889286420591
PC48,0.004707872604233123,0.5594968012462922
PC49,0.004598425764256452,0.5640952270105486
PC50,0.004535931197728202,0.5686311582082768
